mode,N,ops_s,gbs,mean_us,p50_us,p99_us,errors
A,1,929354,7.6133,34.355,34.047,54.434,0
A,2,1433035,11.7394,22.263,23.404,41.232,0
A,4,2164014,17.7276,14.720,14.670,20.520,0
A,8,3613842,29.6046,8.788,8.629,11.430,0
A,16,3642756,29.8415,8.718,8.589,11.118,0
A,32,3644278,29.8539,8.714,8.587,11.103,0
A,64,3637329,29.7970,8.731,8.607,11.139,0
A,128,3638668,29.8080,8.727,8.592,11.139,0
A,256,3627519,29.7166,8.754,8.620,11.152,0
A,512,3622051,29.6718,8.767,8.621,11.208,0
A,1024,3627973,29.7204,8.752,8.626,11.242,0
A,2048,3623736,29.6856,8.760,8.620,11.223,0
A,4096,3622109,29.6723,8.763,8.620,11.205,0
B,1,929654,7.6157,34.354,34.056,54.167,0
B,2,1433692,11.7448,22.253,23.396,41.223,0
B,4,2163841,17.7262,14.722,14.663,20.552,0
B,8,3612481,29.5934,8.791,8.645,11.515,0
B,16,3649828,29.8994,8.701,8.586,11.158,0
B,32,3652512,29.9214,8.694,8.581,11.127,0
B,64,3643433,29.8470,8.716,8.599,11.215,0
B,128,3646963,29.8759,8.708,8.593,11.167,0
B,256,3640971,29.8268,8.722,8.611,11.160,0
B,512,3635719,29.7838,8.735,8.620,11.239,0
B,1024,3640390,29.8221,8.723,8.608,11.203,0
B,2048,3641313,29.8296,8.721,8.608,11.160,0
B,4096,3637740,29.8004,8.730,8.608,11.257,0
C,1,928933,7.6098,34.381,34.084,54.091,0
